score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.8587755,1.1254802,2243.0,1,0train,3,2,BNCI2014-001,CSP+LR
0.88061225,1.1254802,2243.0,1,1test,3,2,BNCI2014-001,CSP+LR
0.52387756,1.0871606,2243.0,2,0train,3,2,BNCI2014-001,CSP+LR
0.57612246,1.0871606,2243.0,2,1test,3,2,BNCI2014-001,CSP+LR
0.98530614,1.1243088,2243.0,3,0train,3,2,BNCI2014-001,CSP+LR
0.98591834,1.1243088,2243.0,3,1test,3,2,BNCI2014-001,CSP+LR
0.7470825,1.2391751,2242.0,4,0train,3,2,BNCI2014-001,CSP+LR
0.7146939,1.2391751,2242.0,4,1test,3,2,BNCI2014-001,CSP+LR
0.5177551,1.0571978,2243.0,5,0train,3,2,BNCI2014-001,CSP+LR
0.58469385,1.0571978,2243.0,5,1test,3,2,BNCI2014-001,CSP+LR
0.73199195,1.0957718,2242.0,6,0train,3,2,BNCI2014-001,CSP+LR
0.6981633,1.0957718,2242.0,6,1test,3,2,BNCI2014-001,CSP+LR
0.6295918,1.0799856,2243.0,7,0train,3,2,BNCI2014-001,CSP+LR
0.7244898,1.0799856,2243.0,7,1test,3,2,BNCI2014-001,CSP+LR
0.9479592,1.0806522,2243.0,8,0train,3,2,BNCI2014-001,CSP+LR
0.93897957,1.0806522,2243.0,8,1test,3,2,BNCI2014-001,CSP+LR
0.6935614,1.1620142,2242.0,9,0train,3,2,BNCI2014-001,CSP+LR
0.61142856,1.1620142,2242.0,9,1test,3,2,BNCI2014-001,CSP+LR
