score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.5367606,2.173562,2737.0,1,0,3,1,MotorImageryDataset,CSP+LDA
0.43083653,1.4238896,2858.0,2,0,3,1,MotorImageryDataset,CSP+LDA
0.9254386,1.5716646,2918.0,3,0,3,1,MotorImageryDataset,CSP+LDA
0.8925,2.0406451,2939.0,4,0,3,1,MotorImageryDataset,CSP+LDA
0.9625,2.1482754,2939.0,5,0,3,1,MotorImageryDataset,CSP+LDA
0.9775,1.6157048,2939.0,6,0,3,1,MotorImageryDataset,CSP+LDA
0.36507937,1.4012239,2937.0,7,0,3,1,MotorImageryDataset,CSP+LDA
0.17380953,1.641392,2938.0,8,0,3,1,MotorImageryDataset,CSP+LDA
0.7792642,1.4240546,2930.0,9,0,3,1,MotorImageryDataset,CSP+LDA
0.78151035,1.5253897,2857.0,10,0,3,1,MotorImageryDataset,CSP+LDA
0.5145677,1.3077643,2686.0,11,0,3,1,MotorImageryDataset,CSP+LDA
0.53963166,1.1886599,2697.0,12,0,3,1,MotorImageryDataset,CSP+LDA
0.5564626,1.453733,2900.0,13,0,3,1,MotorImageryDataset,CSP+LDA
1.0,1.4304659,2956.0,14,0,3,1,MotorImageryDataset,CSP+LDA
0.66700405,1.4250271,2870.0,15,0,3,1,MotorImageryDataset,CSP+LDA
0.6497222,1.2977278,2859.0,16,0,3,1,MotorImageryDataset,CSP+LDA
0.3978142,1.4864821,2858.0,17,0,3,1,MotorImageryDataset,CSP+LDA
0.78590786,1.9395258,2902.0,18,0,3,1,MotorImageryDataset,CSP+LDA
0.54497355,1.7242603,2940.0,19,0,3,1,MotorImageryDataset,CSP+LDA
0.48701298,2.096797,2936.0,20,0,3,1,MotorImageryDataset,CSP+LDA
0.60188264,2.0449855,2894.0,21,0,3,1,MotorImageryDataset,CSP+LDA
0.7251412,1.8831,2860.0,22,0,3,1,MotorImageryDataset,CSP+LDA
0.9936111,1.5713391,2859.0,23,0,3,1,MotorImageryDataset,CSP+LDA
0.94545454,1.993583,2869.0,24,0,3,1,MotorImageryDataset,CSP+LDA
0.81313133,1.877233,2870.0,25,0,3,1,MotorImageryDataset,CSP+LDA
0.6063907,1.6534457,2874.0,26,0,3,1,MotorImageryDataset,CSP+LDA
0.8051599,1.3793592,2857.0,27,0,3,1,MotorImageryDataset,CSP+LDA
0.40185186,1.4665449,2856.0,28,0,3,1,MotorImageryDataset,CSP+LDA
0.6777563,1.5137897,2877.0,29,0,3,1,MotorImageryDataset,CSP+LDA
0.53696793,1.9145763,2737.0,1,0,3,1,MotorImageryDataset,CSP+LR
0.42919627,1.8638628,2858.0,2,0,3,1,MotorImageryDataset,CSP+LR
0.9254386,1.9737945,2918.0,3,0,3,1,MotorImageryDataset,CSP+LR
0.895,2.09475,2939.0,4,0,3,1,MotorImageryDataset,CSP+LR
0.9625,2.386006,2939.0,5,0,3,1,MotorImageryDataset,CSP+LR
0.9775,2.147169,2939.0,6,0,3,1,MotorImageryDataset,CSP+LR
0.36734694,1.6799817,2937.0,7,0,3,1,MotorImageryDataset,CSP+LR
0.17619048,1.8565078,2938.0,8,0,3,1,MotorImageryDataset,CSP+LR
0.7809365,1.5302451,2930.0,9,0,3,1,MotorImageryDataset,CSP+LR
0.78446656,1.4199266,2857.0,10,0,3,1,MotorImageryDataset,CSP+LR
0.5156015,1.4252982,2686.0,11,0,3,1,MotorImageryDataset,CSP+LR
0.53881764,1.3862514,2697.0,12,0,3,1,MotorImageryDataset,CSP+LR
0.55510205,1.6656725,2900.0,13,0,3,1,MotorImageryDataset,CSP+LR
1.0,1.6036582,2956.0,14,0,3,1,MotorImageryDataset,CSP+LR
0.66700405,1.714267,2870.0,15,0,3,1,MotorImageryDataset,CSP+LR
0.6483333,1.7079434,2859.0,16,0,3,1,MotorImageryDataset,CSP+LR
0.40054646,1.4252498,2858.0,17,0,3,1,MotorImageryDataset,CSP+LR
0.7879404,1.3277688,2902.0,18,0,3,1,MotorImageryDataset,CSP+LR
0.54761904,1.533618,2940.0,19,0,3,1,MotorImageryDataset,CSP+LR
0.4891775,1.7787654,2936.0,20,0,3,1,MotorImageryDataset,CSP+LR
0.60188264,1.4515479,2894.0,21,0,3,1,MotorImageryDataset,CSP+LR
0.72683614,1.4010146,2860.0,22,0,3,1,MotorImageryDataset,CSP+LR
0.9936111,1.587131,2859.0,23,0,3,1,MotorImageryDataset,CSP+LR
0.94611573,1.8172421,2869.0,24,0,3,1,MotorImageryDataset,CSP+LR
0.81313133,1.5339689,2870.0,25,0,3,1,MotorImageryDataset,CSP+LR
0.6027596,1.3915932,2874.0,26,0,3,1,MotorImageryDataset,CSP+LR
0.8051599,1.7745113,2857.0,27,0,3,1,MotorImageryDataset,CSP+LR
0.40185186,1.890507,2856.0,28,0,3,1,MotorImageryDataset,CSP+LR
0.6800774,1.5547261,2877.0,29,0,3,1,MotorImageryDataset,CSP+LR
0.4468629,2.132944,2737.0,1,0,3,1,MotorImageryDataset,CSP+SVM
0.42454892,1.8259268,2858.0,2,0,3,1,MotorImageryDataset,CSP+SVM
0.39035088,1.903621,2918.0,3,0,3,1,MotorImageryDataset,CSP+SVM
0.8675,1.8380632,2939.0,4,0,3,1,MotorImageryDataset,CSP+SVM
0.9825,1.736691,2939.0,5,0,3,1,MotorImageryDataset,CSP+SVM
0.96,2.0743165,2939.0,6,0,3,1,MotorImageryDataset,CSP+SVM
0.64625853,2.2819982,2937.0,7,0,3,1,MotorImageryDataset,CSP+SVM
0.32619047,1.8129363,2938.0,8,0,3,1,MotorImageryDataset,CSP+SVM
