score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.5331675,1.63258,2654.0,1,0,3,1,MotorImageryDataset,CSP+LDA
0.43575725,1.4231246,2775.0,2,0,3,1,MotorImageryDataset,CSP+LDA
0.93421054,1.6112733,2835.0,3,0,3,1,MotorImageryDataset,CSP+LDA
0.8925,1.6761894,2856.0,4,0,3,1,MotorImageryDataset,CSP+LDA
0.9625,1.5220058,2856.0,5,0,3,1,MotorImageryDataset,CSP+LDA
0.9775,1.5156436,2856.0,6,0,3,1,MotorImageryDataset,CSP+LDA
0.7675585,1.4595969,2847.0,9,0,3,1,MotorImageryDataset,CSP+LDA
0.77694166,1.5994165,2774.0,10,0,3,1,MotorImageryDataset,CSP+LDA
0.5155545,1.5225401,2603.0,11,0,3,1,MotorImageryDataset,CSP+LDA
0.55514854,1.5711026,2614.0,12,0,3,1,MotorImageryDataset,CSP+LDA
0.5578231,1.7186737,2817.0,13,0,3,1,MotorImageryDataset,CSP+LDA
1.0,1.8427451,2873.0,14,0,3,1,MotorImageryDataset,CSP+LDA
0.6673414,1.7305064,2787.0,15,0,3,1,MotorImageryDataset,CSP+LDA
0.6547222,1.5737553,2776.0,16,0,3,1,MotorImageryDataset,CSP+LDA
0.38606557,1.5566897,2775.0,17,0,3,1,MotorImageryDataset,CSP+LDA
0.77845526,1.5698993,2819.0,18,0,3,1,MotorImageryDataset,CSP+LDA
0.54232806,2.4707067,2857.0,19,0,3,1,MotorImageryDataset,CSP+LDA
0.482684,3.4512937,2853.0,20,0,3,1,MotorImageryDataset,CSP+LDA
0.60022146,1.7206681,2811.0,21,0,3,1,MotorImageryDataset,CSP+LDA
0.72259885,1.7702317,2777.0,22,0,3,1,MotorImageryDataset,CSP+LDA
0.9936111,1.7904196,2776.0,23,0,3,1,MotorImageryDataset,CSP+LDA
0.9414876,1.7230458,2786.0,24,0,3,1,MotorImageryDataset,CSP+LDA
0.8097643,1.7818854,2787.0,25,0,3,1,MotorImageryDataset,CSP+LDA
0.6132898,1.6975033,2791.0,26,0,3,1,MotorImageryDataset,CSP+LDA
0.79951626,1.7608929,2774.0,27,0,3,1,MotorImageryDataset,CSP+LDA
0.40343916,1.537678,2773.0,28,0,3,1,MotorImageryDataset,CSP+LDA
0.6738878,1.5739338,2794.0,29,0,3,1,MotorImageryDataset,CSP+LDA
