subject,direct_transfer,fine_tuned,custom_only
1,0.4444444444444444,0.5267489711934157,0.4808642
2,0.4918032786885246,0.5819672131147541,0.52311826
3,0.3114754098360656,0.3442622950819672,0.32456142
4,0.475,0.5,0.4
5,0.625,0.55,0.27
6,0.6,0.55,0.55
9,0.6122448979591837,0.5102040816326531,0.43645486
10,0.5081967213114754,0.5737704918032787,0.52270895
11,0.48299319727891155,0.5578231292517006,0.5287442
12,0.4647887323943662,0.545774647887324,0.43424755
13,0.569620253164557,0.46835443037974683,0.61768705
14,0.43478260869565216,0.391304347826087,0.5686275
15,0.44954128440366975,0.5137614678899083,0.5721997
16,0.625,0.55,0.5158333
17,0.4132231404958678,0.5702479338842975,0.40081966
18,0.5324675324675324,0.45454545454545453,0.6212737
19,0.5128205128205128,0.41025641025641024,0.37566137
20,0.4883720930232558,0.6046511627906976,0.54329
21,0.43529411764705883,0.6470588235294118,0.5625692
22,0.6050420168067226,0.5210084033613446,0.5638418
23,0.6583333333333333,0.49166666666666664,0.64916664
24,0.5818181818181818,0.5636363636363636,0.6198347
25,0.5688073394495413,0.45871559633027525,0.4942761
26,0.5047619047619047,0.5523809523809524,0.48983297
27,0.5327868852459017,0.5327868852459017,0.5576458
28,0.5853658536585366,0.45528455284552843,0.5796296
29,0.49514563106796117,0.44660194174757284,0.56439394
