subject,direct_transfer,fine_tuned,custom_only
1,0.4403292181069959,0.49382716049382713,0.49396434
2,0.4918032786885246,0.5081967213114754,0.6360215
3,0.29508196721311475,0.8032786885245902,0.8245614
4,0.625,0.55,0.605
5,0.6,0.55,0.355
6,0.65,0.45,0.87
7,0.4523809523809524,0.38095238095238093,0.5260771
8,0.6341463414634146,0.5121951219512195,0.5309524
9,0.6938775510204082,0.5306122448979592,0.6923077
10,0.48360655737704916,0.47540983606557374,0.55012095
11,0.47278911564625853,0.5102040816326531,0.46602532
12,0.5,0.5035211267605634,0.44409284
13,0.5443037974683544,0.46835443037974683,0.40136054
14,0.30434782608695654,0.391304347826087,0.65686274
15,0.43119266055045874,0.44954128440366975,0.6568826
16,0.6416666666666667,0.4583333333333333,0.63222224
17,0.45454545454545453,0.5289256198347108,0.58114755
18,0.5064935064935064,0.5064935064935064,0.6395664
19,0.5128205128205128,0.358974358974359,0.41798943
20,0.46511627906976744,0.5348837209302325,0.44372293
21,0.5411764705882353,0.4117647058823529,0.46400887
22,0.6890756302521008,0.5042016806722689,0.63276833
23,0.6416666666666667,0.5,0.6577778
24,0.5,0.5636363636363636,0.61289257
25,0.5596330275229358,0.41284403669724773,0.6198653
26,0.4857142857142857,0.5238095238095238,0.6332607
27,0.5491803278688525,0.5655737704918032,0.5552271
28,0.5365853658536586,0.5934959349593496,0.61296296
29,0.5631067961165048,0.42718446601941745,0.58484846
