subject,custom_only,direct_transfer,fine_tuned
1,0.5267489711934157,0.43621399176954734,0.49794238683127573
2,0.4918032786885246,0.45081967213114754,0.45081967213114754
3,0.7377049180327869,0.39344262295081966,0.45901639344262296
4,0.5,0.525,0.525
5,0.4,0.6,0.575
6,0.5,0.575,0.55
7,0.5952380952380952,0.5,0.5238095238095238
8,0.4878048780487805,0.6585365853658537,0.4146341463414634
9,0.5102040816326531,0.5510204081632653,0.5918367346938775
10,0.5819672131147541,0.5327868852459017,0.4918032786885246
11,0.5102040816326531,0.5068027210884354,0.5782312925170068
12,0.4788732394366197,0.5,0.5035211267605634
13,0.45569620253164556,0.5189873417721519,0.46835443037974683
14,0.5217391304347826,0.34782608695652173,0.5652173913043478
15,0.5412844036697247,0.5045871559633027,0.44954128440366975
16,0.5416666666666666,0.5833333333333334,0.5583333333333333
17,0.5206611570247934,0.5041322314049587,0.4380165289256198
18,0.5584415584415584,0.5324675324675324,0.5064935064935064
19,0.5384615384615384,0.6666666666666666,0.46153846153846156
20,0.5116279069767442,0.5348837209302325,0.5116279069767442
21,0.5411764705882353,0.6,0.5647058823529412
22,0.5042016806722689,0.6134453781512605,0.5546218487394958
23,0.5,0.6416666666666667,0.5833333333333334
24,0.5363636363636364,0.5181818181818182,0.5181818181818182
25,0.5229357798165137,0.5137614678899083,0.47706422018348627
26,0.49523809523809526,0.4380952380952381,0.47619047619047616
27,0.4344262295081967,0.5491803278688525,0.5327868852459017
28,0.4959349593495935,0.5609756097560976,0.5121951219512195
29,0.5339805825242718,0.5436893203883495,0.5825242718446602
